state_abbr,year,total_export_value_usd,vessel_export_value_usd,container_export_value_usd,china_export_value_usd,canada_export_value_usd,mexico_export_value_usd,total_import_value_usd,vessel_import_value_usd,container_import_value_usd,china_import_value_usd,canada_import_value_usd,mexico_import_value_usd,china_trade_value_usd,canada_trade_value_usd,mexico_trade_value_usd,total_trade_value_usd,total_vessel_trade_value_usd,total_container_trade_value_usd,import_intensity,export_intensity,maritime_share,container_share,china_trade_share,canada_trade_share,mexico_trade_share,trade_war_partner_exposure,state_fips
CT,2021,14548431607,1907882875,1486277518,1256552047,1738842754,978655625,20748602839,8600544380,5301464686,1821506571,4253180224,3222958289,3078058618,5992022978,4201613914,35297034446,10508427255,6787742204,0.5878285007411242,0.41217149925887575,0.29771416834115527,0.1923034699808673,0.08720445403732262,0.16975995496638782,0.11903589012351556,0.26048196109126465,09
CT,2022,15357311468,2078232632,1372090575,887384804,2067991722,1136978595,21261666821,9162051693,5809058845,1773607085,4203518003,3288245664,2660991889,6271509725,4425224259,36618978289,11240284325,7181149420,0.5806187887930998,0.41938121120690014,0.3069524287731555,0.19610458170967457,0.07266701621217371,0.1712639188211295,0.12084510452683209,0.24793243022095066,09
CT,2023,15952030614,2019304844,1502578445,989685662,2117446701,1074277808,21983609705,7918178831,4795179458,1241414447,5838043870,3554638453,2231100109,7955490571,4628916261,37935640319,9937483675,6297757903,0.5794975258132007,0.4205024741867993,0.2619563975047188,0.1660116410331363,0.05881277053026458,0.2097101961137982,0.12202024855981185,0.2578510373344306,09
CT,2024,17418897102,2092088306,1676014287,1455639115,2385769471,1669260252,22843663659,8098064087,4600857092,1340628648,5741225316,3643128840,2796267763,8126994787,5312389092,40262560761,10190152393,6276871379,0.5673673811906998,0.4326326188093002,0.25309250580183185,0.15589846399139223,0.06945081758705675,0.20184992294062296,0.13194364669288006,0.2697269593671585,09
CT,2025,17742804302,2063932877,1717475577,936785128,2121820184,1207133850,24023187771,7332356717,4663911990,1127350451,5716698870,5152486861,2064135579,7838519054,6359620711,41765992073,9396289594,6381387567,0.5751853740002504,0.42481462599974956,0.22497465348307422,0.15278908150550805,0.04942144257922174,0.187677070864247,0.15226791931302486,0.25338843668558486,09
DC,2018,2724156597,1767056989,968745192,2676194,9207027,22729678,762978600,189164822,178210887,220978872,85002353,3956866,223655066,94209380,26686544,3487135197,1956221811,1146956079,0.21879811274779204,0.781201887252208,0.5609824972323836,0.328910700103263,0.06413719381812658,0.027016268276907878,0.007652856139033143,0.08493866846769119,11
DC,2019,3688910270,1963990031,930869602,1762511,12930736,10226905,678498624,161720672,155402190,39129393,66645529,4376923,40891904,79576265,14603828,4367408894,2125710703,1086271792,0.15535495770321156,0.8446450422967884,0.4867212469893367,0.2487222557732878,0.00936296669088571,0.018220475098936317,0.0033438197234206576,0.022301543584299893,11
DC,2020,2770134649,1148615264,698918004,649182,5182915,2939838,536686878,151393087,147448077,42632990,73678507,7302760,43282172,78861422,10242598,3306821527,1300008351,846366081,0.1622968985831209,0.8377031014168791,0.39312927546452375,0.25594549753879114,0.013088753549776925,0.023848103490346002,0.003097414818540946,0.029256064535109094,11
DC,2021,1534571742,504769724,395427173,1126027,7778908,7478706,624347845,135150094,131068814,29638959,79566337,7911410,30764986,87345245,15390116,2158919587,639919818,526495987,0.2891945808262288,0.7108054191737712,0.2964074353918954,0.24387012382041073,0.014250176887204275,0.04045785008666004,0.007128619376410336,0.0428020585650465,11
DC,2022,1530577240,464461018,412293022,2067558,6389943,10654714,1219139837,242561352,222338978,24986682,76725222,68907855,27054240,83115165,79562569,2749717077,707022370,634632000,0.4433691913969955,0.5566308086030045,0.2571254969879943,0.23079901758198232,0.009838917693131088,0.03022680613042576,0.02893482011858633,0.04533589344253834,11
